<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>
2025.11.03	00:34:00	1.15277	1.15282	1.15274	1.15280	10.95
2025.11.03	00:35:00	1.15282	1.15282	1.15277	1.15279	17.45
2025.11.03	00:36:00	1.15279	1.15287	1.15279	1.15283	21.05
2025.11.03	00:37:00	1.15286	1.15288	1.15280	1.15283	22.34
2025.11.03	00:38:00	1.15282	1.15284	1.15278	1.15279	16.14
2025.11.03	00:39:00	1.15277	1.15282	1.15277	1.15282	13.99
2025.11.03	00:40:00	1.15286	1.15289	1.15284	1.15289	7.85
2025.11.03	00:41:00	1.15289	1.15297	1.15289	1.15294	18.33
2025.11.03	00:42:00	1.15294	1.15301	1.15292	1.15292	29.60
2025.11.03	00:43:00	1.15291	1.15293	1.15284	1.15287	28.75
2025.11.03	00:44:00	1.15287	1.15288	1.15282	1.15287	17.50
2025.11.03	00:45:00	1.15291	1.15291	1.15253	1.15258	77.09
2025.11.03	00:46:00	1.15257	1.15259	1.15241	1.15248	77.78
2025.11.03	00:47:00	1.15250	1.15261	1.15247	1.15249	30.39
2025.11.03	00:48:00	1.15248	1.15252	1.15242	1.15248	22.40
2025.11.03	00:49:00	1.15248	1.15261	1.15248	1.15258	10.30
2025.11.03	00:50:00	1.15259	1.15270	1.15256	1.15264	38.51
2025.11.03	00:51:00	1.15263	1.15263	1.15256	1.15261	18.80
2025.11.03	00:52:00	1.15262	1.15265	1.15258	1.15260	23.25
2025.11.03	00:53:00	1.15262	1.15269	1.15261	1.15266	20.85
2025.11.03	00:54:00	1.15267	1.15273	1.15267	1.15268	23.55
2025.11.03	00:55:00	1.15266	1.15268	1.15260	1.15267	25.33
2025.11.03	00:56:00	1.15269	1.15282	1.15268	1.15278	13.47
2025.11.03	00:57:00	1.15278	1.15279	1.15265	1.15265	30.44
2025.11.03	00:58:00	1.15267	1.15270	1.15262	1.15262	77.52
2025.11.03	00:59:00	1.15264	1.15270	1.15256	1.15256	34.04
2025.11.03	01:00:00	1.15258	1.15259	1.15249	1.15252	56.55
2025.11.03	01:01:00	1.15252	1.15258	1.15250	1.15255	58.81
2025.11.03	01:02:00	1.15253	1.15255	1.15242	1.15242	42.08
2025.11.03	01:03:00	1.15240	1.15240	1.15237	1.15238	6.30
2025.11.03	01:04:00	1.15240	1.15240	1.15226	1.15229	43.75
2025.11.03	01:05:00	1.15228	1.15243	1.15227	1.15243	120.81
2025.11.03	01:06:00	1.15242	1.15244	1.15232	1.15233	50.88
2025.11.03	01:07:00	1.15233	1.15240	1.15233	1.15236	27.09
2025.11.03	01:08:00	1.15236	1.15237	1.15215	1.15220	56.19
2025.11.03	01:09:00	1.15221	1.15228	1.15218	1.15224	36.65
2025.11.03	01:10:00	1.15223	1.15237	1.15220	1.15237	56.80
2025.11.03	01:11:00	1.15239	1.15251	1.15239	1.15245	36.17
2025.11.03	01:12:00	1.15246	1.15248	1.15239	1.15240	21.10
2025.11.03	01:13:00	1.15242	1.15243	1.15239	1.15240	17.50
2025.11.03	01:14:00	1.15241	1.15251	1.15238	1.15241	44.60
2025.11.03	01:15:00	1.15242	1.15262	1.15241	1.15262	73.34
2025.11.03	01:16:00	1.15261	1.15264	1.15258	1.15263	41.78
2025.11.03	01:17:00	1.15261	1.15270	1.15259	1.15266	55.53
2025.11.03	01:18:00	1.15271	1.15276	1.15270	1.15273	32.13
2025.11.03	01:19:00	1.15272	1.15278	1.15270	1.15274	51.18
2025.11.03	01:20:00	1.15274	1.15280	1.15271	1.15278	29.43
2025.11.03	01:21:00	1.15278	1.15278	1.15272	1.15273	32.52
2025.11.03	01:22:00	1.15275	1.15277	1.15274	1.15276	31.68
2025.11.03	01:23:00	1.15277	1.15282	1.15274	1.15281	42.54
2025.11.03	01:24:00	1.15281	1.15284	1.15272	1.15272	59.33
2025.11.03	01:25:00	1.15274	1.15279	1.15271	1.15276	40.65
2025.11.03	01:26:00	1.15275	1.15276	1.15269	1.15274	30.33
2025.11.03	01:27:00	1.15274	1.15274	1.15270	1.15274	14.85
2025.11.03	01:28:00	1.15272	1.15272	1.15266	1.15266	9.19
2025.11.03	01:29:00	1.15267	1.15268	1.15265	1.15265	12.24
2025.11.03	01:30:00	1.15266	1.15269	1.15266	1.15268	12.91
2025.11.03	01:31:00	1.15267	1.15273	1.15265	1.15272	24.03
2025.11.03	01:32:00	1.15270	1.15276	1.15268	1.15275	57.57
2025.11.03	01:33:00	1.15275	1.15279	1.15273	1.15279	24.35
2025.11.03	01:34:00	1.15278	1.15288	1.15277	1.15286	43.66
2025.11.03	01:35:00	1.15285	1.15286	1.15275	1.15279	48.20
2025.11.03	01:36:00	1.15281	1.15285	1.15281	1.15283	14.85
2025.11.03	01:37:00	1.15284	1.15288	1.15282	1.15285	38.97
2025.11.03	01:38:00	1.15284	1.15287	1.15283	1.15284	20.34
2025.11.03	01:39:00	1.15282	1.15282	1.15272	1.15272	26.10
2025.11.03	01:40:00	1.15273	1.15278	1.15268	1.15273	45.47
2025.11.03	01:41:00	1.15274	1.15275	1.15268	1.15268	19.26
2025.11.03	01:42:00	1.15272	1.15272	1.15264	1.15264	13.50
2025.11.03	01:43:00	1.15265	1.15265	1.15259	1.15260	11.45
2025.11.03	01:44:00	1.15259	1.15263	1.15257	1.15258	20.47
2025.11.03	01:45:00	1.15257	1.15265	1.15255	1.15263	52.10
2025.11.03	01:46:00	1.15265	1.15275	1.15265	1.15273	12.54
2025.11.03	01:47:00	1.15274	1.15279	1.15272	1.15272	19.64
2025.11.03	01:48:00	1.15274	1.15284	1.15272	1.15283	35.87
2025.11.03	01:49:00	1.15283	1.15285	1.15277	1.15277	11.91
2025.11.03	01:50:00	1.15278	1.15282	1.15267	1.15268	45.15
2025.11.03	01:51:00	1.15269	1.15270	1.15268	1.15269	13.00
2025.11.03	01:52:00	1.15270	1.15279	1.15263	1.15263	38.02
2025.11.03	01:53:00	1.15263	1.15264	1.15258	1.15259	30.60
2025.11.03	01:54:00	1.15259	1.15264	1.15257	1.15264	11.79
2025.11.03	01:55:00	1.15267	1.15279	1.15267	1.15279	43.33
2025.11.03	01:56:00	1.15278	1.15284	1.15274	1.15281	47.40
2025.11.03	01:57:00	1.15283	1.15286	1.15279	1.15280	34.67
2025.11.03	01:58:00	1.15277	1.15277	1.15269	1.15275	42.11
2025.11.03	01:59:00	1.15277	1.15277	1.15269	1.15269	24.70
2025.11.03	02:00:00	1.15272	1.15275	1.15263	1.15265	21.59
2025.11.03	02:01:00	1.15267	1.15267	1.15264	1.15266	9.15
2025.11.03	02:02:00	1.15267	1.15273	1.15267	1.15273	17.50
2025.11.03	02:03:00	1.15277	1.15282	1.15277	1.15280	26.93
2025.11.03	02:04:00	1.15281	1.15285	1.15280	1.15282	40.37
2025.11.03	02:05:00	1.15282	1.15282	1.15279	1.15279	11.33
2025.11.03	02:06:00	1.15277	1.15284	1.15276	1.15284	20.45
2025.11.03	02:07:00	1.15283	1.15292	1.15283	1.15290	39.53
2025.11.03	02:08:00	1.15290	1.15295	1.15288	1.15293	85.09
2025.11.03	02:09:00	1.15292	1.15319	1.15292	1.15313	79.32
2025.11.03	02:10:00	1.15312	1.15323	1.15312	1.15316	26.19
2025.11.03	02:11:00	1.15316	1.15318	1.15307	1.15317	38.07
2025.11.03	02:12:00	1.15318	1.15318	1.15308	1.15314	41.04
2025.11.03	02:13:00	1.15315	1.15318	1.15310	1.15310	27.90
2025.11.03	02:14:00	1.15309	1.15312	1.15307	1.15311	19.50
2025.11.03	02:15:00	1.15310	1.15323	1.15309	1.15309	36.65
2025.11.03	02:16:00	1.15308	1.15311	1.15302	1.15307	24.05
2025.11.03	02:17:00	1.15309	1.15311	1.15306	1.15307	60.32
2025.11.03	02:18:00	1.15308	1.15318	1.15307	1.15317	20.75
2025.11.03	02:19:00	1.15321	1.15323	1.15316	1.15317	21.53
2025.11.03	02:20:00	1.15318	1.15327	1.15317	1.15326	11.79
2025.11.03	02:21:00	1.15325	1.15325	1.15320	1.15322	16.58
2025.11.03	02:22:00	1.15324	1.15328	1.15318	1.15321	23.70
2025.11.03	02:23:00	1.15317	1.15319	1.15306	1.15309	33.59
2025.11.03	02:24:00	1.15315	1.15318	1.15312	1.15316	20.28
2025.11.03	02:25:00	1.15316	1.15321	1.15316	1.15319	24.41
2025.11.03	02:26:00	1.15318	1.15319	1.15317	1.15317	6.48
2025.11.03	02:27:00	1.15319	1.15325	1.15319	1.15322	32.94
2025.11.03	02:28:00	1.15320	1.15326	1.15318	1.15322	36.31
2025.11.03	02:29:00	1.15321	1.15323	1.15318	1.15319	31.32
2025.11.03	02:30:00	1.15318	1.15318	1.15309	1.15312	27.03
2025.11.03	02:31:00	1.15315	1.15318	1.15314	1.15317	16.92
2025.11.03	02:32:00	1.15317	1.15327	1.15316	1.15325	29.25
2025.11.03	02:33:00	1.15326	1.15328	1.15325	1.15327	13.05
2025.11.03	02:34:00	1.15328	1.15334	1.15327	1.15330	33.57
2025.11.03	02:35:00	1.15329	1.15334	1.15328	1.15334	40.71
2025.11.03	02:36:00	1.15332	1.15334	1.15315	1.15315	63.49
2025.11.03	02:37:00	1.15316	1.15320	1.15307	1.15312	65.22
2025.11.03	02:38:00	1.15314	1.15316	1.15311	1.15314	18.90
2025.11.03	02:39:00	1.15313	1.15313	1.15308	1.15308	7.65
2025.11.03	02:40:00	1.15308	1.15323	1.15308	1.15323	36.00
2025.11.03	02:41:00	1.15323	1.15328	1.15323	1.15328	7.20
2025.11.03	02:42:00	1.15326	1.15328	1.15322	1.15324	21.60
2025.11.03	02:43:00	1.15322	1.15322	1.15320	1.15320	11.25
2025.11.03	02:44:00	1.15318	1.15324	1.15317	1.15317	30.24
2025.11.03	02:45:00	1.15317	1.15319	1.15308	1.15312	18.00
2025.11.03	02:46:00	1.15309	1.15309	1.15307	1.15307	8.10
2025.11.03	02:47:00	1.15308	1.15322	1.15308	1.15322	18.00
2025.11.03	02:48:00	1.15327	1.15336	1.15327	1.15334	31.86
2025.11.03	02:49:00	1.15335	1.15340	1.15332	1.15339	23.40
2025.11.03	02:50:00	1.15339	1.15339	1.15326	1.15328	26.10
2025.11.03	02:51:00	1.15326	1.15331	1.15326	1.15328	14.40
2025.11.03	02:52:00	1.15328	1.15331	1.15328	1.15329	19.80
2025.11.03	02:53:00	1.15332	1.15334	1.15328	1.15328	7.20
2025.11.03	02:54:00	1.15328	1.15329	1.15328	1.15329	1.80
2025.11.03	02:55:00	1.15327	1.15334	1.15327	1.15332	41.04
2025.11.03	02:56:00	1.15334	1.15334	1.15319	1.15319	26.64
2025.11.03	02:57:00	1.15322	1.15329	1.15321	1.15322	29.79
2025.11.03	02:58:00	1.15323	1.15323	1.15305	1.15305	51.84
2025.11.03	02:59:00	1.15307	1.15316	1.15306	1.15314	38.70
2025.11.03	03:00:00	1.15313	1.15320	1.15312	1.15318	28.80
2025.11.03	03:01:00	1.15318	1.15320	1.15315	1.15320	14.24
2025.11.03	03:02:00	1.15318	1.15320	1.15317	1.15318	18.90
2025.11.03	03:03:00	1.15316	1.15320	1.15311	1.15320	32.01
2025.11.03	03:04:00	1.15318	1.15325	1.15318	1.15318	29.88
2025.11.03	03:05:00	1.15318	1.15321	1.15316	1.15316	11.70
2025.11.03	03:06:00	1.15316	1.15322	1.15311	1.15320	42.67
2025.11.03	03:07:00	1.15319	1.15319	1.15319	1.15319	0.90
2025.11.03	03:08:00	1.15321	1.15321	1.15318	1.15319	8.12
2025.11.03	03:09:00	1.15319	1.15323	1.15314	1.15322	49.16
2025.11.03	03:10:00	1.15324	1.15324	1.15324	1.15324	1.80
2025.11.03	03:11:00	1.15325	1.15325	1.15324	1.15324	2.70
2025.11.03	03:12:00	1.15324	1.15325	1.15320	1.15320	21.60
2025.11.03	03:13:00	1.15320	1.15321	1.15319	1.15320	25.65
2025.11.03	03:14:00	1.15321	1.15322	1.15318	1.15319	16.20
2025.11.03	03:15:00	1.15320	1.15323	1.15319	1.15323	11.70
2025.11.03	03:16:00	1.15323	1.15326	1.15323	1.15324	12.60
2025.11.03	03:17:00	1.15325	1.15328	1.15324	1.15326	26.19
2025.11.03	03:18:00	1.15327	1.15329	1.15325	1.15326	22.92
2025.11.03	03:19:00	1.15327	1.15327	1.15321	1.15323	12.60
2025.11.03	03:20:00	1.15323	1.15326	1.15321	1.15322	27.18
2025.11.03	03:21:00	1.15322	1.15322	1.15320	1.15322	14.40
2025.11.03	03:22:00	1.15321	1.15325	1.15321	1.15322	17.10
2025.11.03	03:23:00	1.15321	1.15323	1.15320	1.15322	9.00
2025.11.03	03:24:00	1.15323	1.15323	1.15318	1.15321	38.45
2025.11.03	03:25:00	1.15321	1.15322	1.15320	1.15322	26.00
2025.11.03	03:26:00	1.15322	1.15322	1.15318	1.15320	4.95
2025.11.03	03:27:00	1.15319	1.15319	1.15318	1.15318	1.80
2025.11.03	03:28:00	1.15317	1.15317	1.15314	1.15314	6.30
2025.11.03	03:29:00	1.15314	1.15315	1.15305	1.15307	31.40
2025.11.03	03:30:00	1.15307	1.15313	1.15299	1.15312	65.22
2025.11.03	03:31:00	1.15313	1.15320	1.15311	1.15319	36.18
2025.11.03	03:32:00	1.15321	1.15322	1.15321	1.15321	3.60
2025.11.03	03:33:00	1.15323	1.15323	1.15317	1.15317	8.10
2025.11.03	03:34:00	1.15319	1.15320	1.15316	1.15317	24.23
2025.11.03	03:35:00	1.15317	1.15323	1.15317	1.15323	16.59
2025.11.03	03:36:00	1.15324	1.15325	1.15321	1.15323	7.94
2025.11.03	03:37:00	1.15324	1.15324	1.15321	1.15321	11.78
2025.11.03	03:38:00	1.15321	1.15324	1.15320	1.15322	17.72
2025.11.03	03:39:00	1.15323	1.15326	1.15322	1.15325	3.68
2025.11.03	03:40:00	1.15326	1.15327	1.15321	1.15326	21.08
2025.11.03	03:41:00	1.15325	1.15326	1.15320	1.15320	23.47
2025.11.03	03:42:00	1.15319	1.15322	1.15315	1.15322	67.00
2025.11.03	03:43:00	1.15320	1.15323	1.15308	1.15310	31.37
2025.11.03	03:44:00	1.15308	1.15310	1.15308	1.15310	3.60
2025.11.03	03:45:00	1.15312	1.15313	1.15312	1.15312	5.40
2025.11.03	03:46:00	1.15309	1.15311	1.15302	1.15311	38.45
2025.11.03	03:47:00	1.15308	1.15318	1.15308	1.15318	13.62
2025.11.03	03:48:00	1.15318	1.15319	1.15318	1.15318	6.30
2025.11.03	03:49:00	1.15322	1.15325	1.15321	1.15322	12.60
2025.11.03	03:50:00	1.15322	1.15327	1.15322	1.15327	18.90
2025.11.03	03:51:00	1.15326	1.15327	1.15326	1.15327	5.40
2025.11.03	03:52:00	1.15328	1.15328	1.15321	1.15321	11.70
2025.11.03	03:53:00	1.15322	1.15322	1.15321	1.15321	1.80
2025.11.03	03:54:00	1.15323	1.15326	1.15323	1.15326	3.60
2025.11.03	03:55:00	1.15328	1.15339	1.15328	1.15338	30.63
2025.11.03	03:56:00	1.15341	1.15343	1.15336	1.15338	48.36
2025.11.03	03:57:00	1.15337	1.15340	1.15336	1.15339	15.84
2025.11.03	03:58:00	1.15336	1.15339	1.15336	1.15338	3.20
2025.11.03	03:59:00	1.15338	1.15340	1.15335	1.15336	23.31
2025.11.03	04:00:00	1.15336	1.15337	1.15328	1.15335	37.57
2025.11.03	04:01:00	1.15336	1.15339	1.15333	1.15333	54.90
2025.11.03	04:02:00	1.15333	1.15339	1.15332	1.15338	36.00
2025.11.03	04:03:00	1.15338	1.15341	1.15337	1.15339	21.30
2025.11.03	04:04:00	1.15337	1.15344	1.15337	1.15342	14.49
2025.11.03	04:05:00	1.15344	1.15345	1.15339	1.15342	44.55
2025.11.03	04:06:00	1.15342	1.15345	1.15341	1.15344	33.30
2025.11.03	04:07:00	1.15344	1.15360	1.15343	1.15360	64.41
2025.11.03	04:08:00	1.15361	1.15364	1.15355	1.15357	42.39
2025.11.03	04:09:00	1.15358	1.15365	1.15358	1.15364	41.94
2025.11.03	04:10:00	1.15365	1.15365	1.15363	1.15363	7.20
2025.11.03	04:11:00	1.15363	1.15364	1.15361	1.15361	14.40
2025.11.03	04:12:00	1.15362	1.15368	1.15362	1.15365	26.07
2025.11.03	04:13:00	1.15365	1.15369	1.15365	1.15369	16.20
2025.11.03	04:14:00	1.15368	1.15368	1.15367	1.15368	8.10
